config_id,method,threshold_param,accuracy,precision,recall,f1,confusion_matrix,f1_delta_vs_original,prediction_match_rate_vs_original,max_abs_logits_error_vs_original,mean_abs_logits_error_vs_original,q_active_ratio,k_active_ratio,estimated_attention_mac_reduction,denominator_min,denominator_mean,denominator_near_zero_count,passes_quality_gate
dt_14_dynamic_mad_0,dynamic_mad,0.0,0.60546875,0.1,0.8461538461538461,0.1788617886178862,"[[144, 99], [2, 11]]",-0.027487417731320157,0.89453125,3.325848698616028,0.8203941530664451,0.5313720703125,0.517974853515625,0.4753265380859375,13.453463554382324,38.87627410888672,0,False
dt_15_dynamic_mad_0p25,dynamic_mad,0.25,0.7265625,0.13924050632911392,0.8461538461538461,0.23913043478260868,"[[175, 68], [2, 11]]",0.03278122843340231,0.8125,4.50052535533905,1.0880581695528235,0.459136962890625,0.4434814453125,0.5486907958984375,11.38284683227539,28.471540451049805,0,False
dt_16_dynamic_mad_0p5,dynamic_mad,0.5,0.734375,0.14285714285714285,0.8461538461538461,0.2444444444444444,"[[177, 66], [2, 11]]",0.03809523809523804,0.8046875,5.471221566200256,1.224621702451259,0.35760498046875,0.3614501953125,0.640472412109375,5.0293049812316895,19.710783004760742,0,False
dt_17_dynamic_mad_0p75,dynamic_mad,0.75,0.80078125,0.18333333333333332,0.8461538461538461,0.3013698630136986,"[[194, 49], [2, 11]]",0.09502065666449225,0.79296875,5.258977293968201,1.0903718678746372,0.246734619140625,0.2906494140625,0.7313079833984375,3.984354019165039,12.058975219726562,0,False
dt_18_dynamic_mad_1p0,dynamic_mad,1.0,0.84765625,0.21739130434782608,0.7692307692307693,0.3389830508474576,"[[207, 36], [3, 10]]",0.13263384449825125,0.73828125,5.727721810340881,1.4499476050259545,0.180755615234375,0.2220458984375,0.7985992431640625,0.0,7.829950332641602,5,False
dt_19_dynamic_mad_1p25,dynamic_mad,1.25,0.84375,0.2,0.6923076923076923,0.31034482758620696,"[[207, 36], [4, 9]]",0.1039956212370006,0.734375,5.971613049507141,1.6862031380587723,0.14306640625,0.16204833984375,0.847442626953125,0.0,5.96141242980957,123,False
dt_20_dynamic_mad_1p5,dynamic_mad,1.5,0.80859375,0.17857142857142858,0.7692307692307693,0.2898550724637681,"[[197, 46], [3, 10]]",0.08350586611456176,0.73828125,5.624954462051392,1.5207174803654198,0.1036376953125,0.104949951171875,0.8957061767578125,0.0,3.4266715049743652,374,False
dt_21_homeostatic_0p99,homeostatic,0.99,0.6015625,0.11304347826086956,1.0,0.203125,"[[141, 102], [0, 13]]",-0.0032242063492063655,0.9921875,0.7883611917495728,0.03745086202980019,0.989471435546875,0.99005126953125,0.0102386474609375,83.77188873291016,124.59359741210938,0,True
dt_22_homeostatic_0p98,homeostatic,0.98,0.58984375,0.11016949152542373,1.0,0.1984732824427481,"[[138, 105], [0, 13]]",-0.007875923906458276,0.98046875,0.8640257120132446,0.07892278517829254,0.98004150390625,0.98028564453125,0.01983642578125,76.81952667236328,123.19871520996094,0,False
dt_23_homeostatic_0p95,homeostatic,0.95,0.5546875,0.10236220472440945,1.0,0.1857142857142857,"[[129, 114], [0, 13]]",-0.020634920634920673,0.9453125,1.2315974235534668,0.25623165573051665,0.949432373046875,0.949981689453125,0.05029296875,67.584716796875,118.3104248046875,0,False
dt_24_homeostatic_0p9,homeostatic,0.9,0.5390625,0.09923664122137404,1.0,0.18055555555555555,"[[125, 118], [0, 13]]",-0.025793650793650813,0.9296875,3.0496188402175903,0.6108286826347467,0.8897705078125,0.902862548828125,0.1036834716796875,57.38427734375,108.15717315673828,0,False
dt_25_homeostatic_0p8,homeostatic,0.8,0.55859375,0.10317460317460317,1.0,0.1870503597122302,"[[130, 113], [0, 13]]",-0.019298846636976175,0.94921875,3.4871355295181274,0.6751235630799783,0.803436279296875,0.804351806640625,0.19610595703125,41.26882553100586,90.00701904296875,0,False
dt_26_homeostatic_0p7,homeostatic,0.7,0.55859375,0.10317460317460317,1.0,0.1870503597122302,"[[130, 113], [0, 13]]",-0.019298846636976175,0.94921875,3.6396743059158325,0.7481615223223343,0.727325439453125,0.696197509765625,0.288238525390625,21.222354888916016,72.28800964355469,0,False
dt_27_homeostatic_0p6,homeostatic,0.6,0.5625,0.104,1.0,0.18840579710144925,"[[131, 112], [0, 13]]",-0.017943409247757114,0.9453125,3.699102997779846,0.7992293394927401,0.616302490234375,0.6004638671875,0.3916168212890625,16.565818786621094,54.33036804199219,0,False
dt_28_homeostatic_0p5,homeostatic,0.5,0.796875,0.19047619047619047,0.9230769230769231,0.31578947368421056,"[[192, 51], [1, 12]]",0.1094402673350042,0.8046875,3.852598786354065,1.0332847199460957,0.482635498046875,0.492889404296875,0.512237548828125,10.922768592834473,36.39823532104492,0,False
