sample_id,label,pytorch_score,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,fpga_score,latency_us,ap_ctrl,abs_error,rel_error,pytorch_pred,fpga_pred,pred_match
22,0,-1.3395094871520996,0.0927205979824066,0.4813432693481445,0.115984171628952,0.4794776141643524,0.1130762249231338,0.4626865684986114,0.1247080117464065,0.4720149338245392,0.115984171628952,0.4589552283287048,0.133431851863861,0.4757462739944458,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.4867023825645447,76.65299926884472,14,1.8262118697166443,1.363343736817655,0,1,False
23,0,-1.1468167304992676,0.115984171628952,0.4794776141643524,0.1130762249231338,0.4626865684986114,0.1247080117464065,0.4720149338245392,0.115984171628952,0.4589552283287048,0.133431851863861,0.4757462739944458,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.4867023825645447,76.53600005141925,14,1.6335191130638123,1.4243942119266593,0,1,False
24,0,-0.9276654720306396,0.1130762249231338,0.4626865684986114,0.1247080117464065,0.4720149338245392,0.115984171628952,0.4589552283287048,0.133431851863861,0.4757462739944458,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.4867023825645447,75.88900007249322,14,1.4143678545951843,1.5246529026235758,0,1,False
25,0,-0.6677722930908203,0.1247080117464065,0.4720149338245392,0.115984171628952,0.4589552283287048,0.133431851863861,0.4757462739944458,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.4867023825645447,78.09899943822529,14,1.154474675655365,1.7288448286942488,0,1,False
26,0,-0.6747226715087891,0.115984171628952,0.4589552283287048,0.133431851863861,0.4757462739944458,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.4867023825645447,75.66800013592001,14,1.1614250540733337,1.721336933107938,0,1,False
27,0,-0.6575343608856201,0.133431851863861,0.4757462739944458,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.3641331493854522,76.76299901504535,14,1.0216675102710724,1.5537857350831195,0,1,False
28,0,-0.646388053894043,0.1363397985696792,0.466417908668518,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.2917738556861877,77.25499926891644,14,0.9381619095802307,1.4513911634481038,0,1,False
29,0,-1.0920867919921875,0.115984171628952,0.4514925479888916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.0470238029956817,75.45200060121715,14,1.1391105949878693,1.0430586683590422,0,1,False
30,0,-0.949739933013916,0.0810888111591339,0.4421641826629638,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1534010618925094,75.11399962822907,14,1.1031409949064255,1.1615190185861772,0,1,False
31,0,-0.8881423473358154,0.0810888111591339,0.4645522534847259,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1305239051580429,0.466417908668518,0.3462111353874206,74.11099977616686,14,1.234353482723236,1.389814916973568,0,1,False
32,0,-0.8938920497894287,0.0752729177474975,0.4608208835124969,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1305239051580429,0.466417908668518,0.0985364913940429,0.444029837846756,0.4867023825645447,73.97499939543195,14,1.3805944323539734,1.5444755691464038,0,1,False
33,0,-1.326073169708252,0.0869047045707702,0.4720149338245392,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1305239051580429,0.466417908668518,0.0985364913940429,0.444029837846756,0.1101682782173156,0.4720149338245392,0.4867023825645447,75.5199998820899,14,1.8127755522727966,1.3670252846391753,0,1,False
34,0,-0.934877634048462,0.0985364913940429,0.4720149338245392,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1305239051580429,0.466417908668518,0.0985364913940429,0.444029837846756,0.1101682782173156,0.4720149338245392,0.0723649710416793,0.4402984976768493,0.4867023825645447,74.369001595187,14,1.4215800166130066,1.5206054405825211,0,1,False
35,0,-0.9293386936187744,0.1014444380998611,0.466417908668518,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1305239051580429,0.466417908668518,0.0985364913940429,0.444029837846756,0.1101682782173156,0.4720149338245392,0.0723649710416793,0.4402984976768493,0.0956285446882247,0.4794776141643524,0.4867023825645447,74.95399950130377,14,1.416041076183319,1.5237082948406706,0,1,False
36,0,-0.9035789966583252,0.1247080117464065,0.4794776141643524,0.1276159584522247,0.466417908668518,0.1305239051580429,0.466417908668518,0.0985364913940429,0.444029837846756,0.1101682782173156,0.4720149338245392,0.0723649710416793,0.4402984976768493,0.0956285446882247,0.4794776141643524,0.115984171628952,0.4776119291782379,0.4400716722011566,74.08000055875164,14,1.3436506688594818,1.4870317634967816,0,1,False
